Metadata_Well,Metadata_WellRow,Metadata_WellColumn,Metadata_Field,TimepointName,SerialPassage_BatchNumber,AgeGroup,PassageNumber,Staining,Drug
B07,2,7,32,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,33,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,34,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,35,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,36,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,37,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,38,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,39,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,40,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B08,2,8,1,SPB3 AG3 EEA1-488,3,3,1,+ ConA-594 + Tfn-647,None
B08,2,8,2,SPB3 AG3 EEA1-488,3,3,1,+ ConA-594 + Tfn-647,None
B08,2,8,3,SPB3 AG3 EEA1-488,3,3,1,+ ConA-594 + Tfn-647,None
B08,2,8,4,SPB3 AG3 EEA1-488,3,3,1,+ ConA-594 + Tfn-647,None
B08,2,8,5,SPB3 AG3 EEA1-488,3,3,1,+ ConA-594 + Tfn-647,None
B08,2,8,6,SPB3 AG3 EEA1-488,3,3,1,+ ConA-594 + Tfn-647,None
B08,2,8,7,SPB3 AG3 EEA1-488,3,3,1,+ ConA-594 + Tfn-647,None
B08,2,8,8,SPB3 AG3 EEA1-488,3,3,1,+ ConA-594 + Tfn-647,None
B08,2,8,9,SPB3 AG3 EEA1-488,3,3,1,+ ConA-594 + Tfn-647,None
B08,2,8,10,SPB3 AG3 EEA1-488,3,3,1,+ ConA-594 + Tfn-647,None
B08,2,8,11,SPB3 AG3 EEA1-488,3,3,1,+ ConA-594 + Tfn-647,None
B08,2,8,12,SPB3 AG3 EEA1-488,3,3,1,+ ConA-594 + Tfn-647,None
B08,2,8,13,SPB3 AG3 EEA1-488,3,3,1,+ ConA-594 + Tfn-647,None
B08,2,8,14,SPB3 AG3 EEA1-488,3,3,1,+ ConA-594 + Tfn-647,None
B08,2,8,15,SPB3 AG3 EEA1-488,3,3,1,+ ConA-594 + Tfn-647,None
B08,2,8,16,SPB3 AG3 EEA1-488,3,3,1,+ ConA-594 + Tfn-647,None
